1712785064.22904, 141.604, 97.556, 133.104, 156.564
1712785065.22998, 112.815, 151.526, 133.065, 126.189
1712785066.23099, 93.098, 147.226, 93.427, 121.979
1712785067.23202, 129.723, 128.604, 131.721, 86.389
1712785068.23304, 112.147, 132.812, 127.348, 130.346
1712785069.24072, 137.036, 131.309, 142.259, 85.963
1712785070.24176, 92.376, 91.283, 156.845, 108.506
1712785071.24199, 125.51, 141.168, 126.167, 130.275
1712785072.24302, 118.036, 140.031, 127.692, 130.831
1712785073.24404, 100.301, 109.726, 170.259, 83.552
1712785074.24506, 121.683, 126.708, 139.846, 124.829
1712785075.24598, 131.744, 131.971, 92.838, 119.673
1712785076.247, 121.077, 128.509, 127.35, 133.176
1712785077.24803, 133.343, 72.989, 92.03, 165.023
1712785078.24906, 127.631, 141.551, 124.045, 135.883
1712785079.24999, 101.236, 157.087, 177.232, 151.926
1712785080.25104, 129.743, 134.831, 134.684, 129.111
1712785081.25205, 119.177, 144.914, 127.851, 139.187
1712785082.25308, 102.458, 124.052, 166.746, 103.912
1712785083.25399, 127.907, 100.967, 126.511, 109.993
1712785084.25501, 100.068, 115.623, 160.578, 112.57
1712785085.25604, 126.49, 130.387, 124.53, 95.756
1712785086.25707, 175.316, 131.344, 130.474, 127.297
1712785087.25799, 106.508, 80.524, 106.801, 93.453
1712785088.25902, 93.467, 84.441, 93.802, 100.25
1712785089.26004, 113.683, 122.965, 123.198, 103.36
1712785090.26107, 115.472, 157.725, 127.869, 125.512
1712785091.26202, 120.537, 143.038, 84.216, 91.329
1712785092.26304, 123.439, 127.538, 127.845, 128.187
1712785093.26407, 159.239, 98.38, 134.893, 124.219
1712785094.2651, 129.564, 125.553, 125.345, 108.715
1712785095.26599, 166.807, 98.617, 149.799, 154.159
1712785096.26701, 150.352, 123.571, 129.21, 150.282
1712785097.26804, 123.012, 121.291, 126.964, 119.362
1712785098.26907, 125.452, 128.244, 134.206, 80.464
1712785099.26998, 128.885, 103.594, 118.079, 146.607
1712785100.271, 117.187, 128.613, 118.752, 122.191
1712785101.27204, 133.838, 129.386, 132.924, 119.454
1712785102.27338, 151.285, 162.391, 131.629, 126.533
1712785103.27399, 133.101, 142.837, 145.599, 133.276
1712785104.27502, 125.647, 126.588, 121.54, 132.329
1712785105.27605, 166.694, 118.397, 125.852, 124.222
1712785106.27708, 127.901, 82.985, 90.529, 108.848
1712785107.27798, 98.414, 119.834, 133.506, 158.695
1712785108.279, 121.087, 78.887, 100.395, 86.165
1712785109.28014, 119.716, 127.43, 121.528, 130.037
1712785110.28239, 117.759, 76.886, 102.624, 99.568
1712785111.28853, 133.689, 136.282, 125.589, 89.209
1712785112.28994, 106.698, 147.914, 154.658, 109.463
1712785113.28999, 120.437, 123.75, 126.692, 95.402
1712785114.29102, 147.964, 131.372, 130.736, 123.509
1712785115.29202, 129.758, 126.694, 123.695, 103.8
1712785116.29306, 168.547, 117.523, 178.199, 122.872
1712785117.29398, 127.361, 124.673, 122.894, 71.168
1712785118.295, 165.698, 132.147, 152.968, 126.137
1712785119.29603, 137.234, 140.112, 139.321, 145.681
1712785120.29706, 131.55, 135.031, 135.074, 111.857
1712785121.29799, 122.16, 117.776, 114.375, 127.217
1712785122.29902, 105.61, 80.138, 102.405, 85.856
1712785123.30007, 148.852, 129.613, 80.874, 96.806
1712785124.3011, 155.222, 129.497, 126.655, 128.003
1712785125.30198, 124.105, 130.078, 115.893, 84.943
1712785126.30301, 111.307, 126.239, 158.17, 174.881
1712785127.30404, 119.78, 126.163, 92.883, 88.117
1712785128.30507, 166.217, 165.459, 130.306, 121.162
1712785129.30598, 89.625, 91.041, 157.746, 138.302
1712785130.30701, 123.083, 126.362, 123.401, 130.778
1712785131.30804, 130.586, 129.377, 128.085, 124.231
1712785132.30907, 129.492, 88.035, 99.078, 150.062
1712785133.30998, 125.396, 137.033, 128.558, 126.945
1712785134.31103, 116.096, 76.395, 94.983, 124.998
1712785135.31206, 122.687, 132.356, 120.933, 146.277
1712785136.31308, 96.099, 81.789, 106.157, 99.797
1712785137.31398, 177.638, 125.399, 125.847, 139.774
1712785138.31501, 99.226, 90.653, 135.392, 85.342
1712785139.31605, 112.167, 102.848, 116.31, 118.386
1712785140.31708, 164.318, 89.592, 110.821, 164.02
1712785141.31798, 119.694, 142.342, 129.256, 112.179
1712785142.31901, 107.403, 91.693, 99.127, 143.454
1712785143.32004, 115.416, 112.418, 118.641, 156.763
1712785144.32106, 181.295, 164.556, 176.001, 118.149
1712785145.32199, 169.575, 124.749, 136.785, 138.436
1712785146.32301, 128.534, 164.053, 149.928, 144.533
1712785147.32405, 120.714, 128.363, 129.076, 122.706
1712785148.32508, 129.9, 94.109, 105.113, 141.505
1712785149.32599, 123.663, 130.34, 119.234, 112.625
1712785150.32701, 120.679, 76.998, 92.145, 98.17
1712785151.32804, 173.653, 140.212, 119.01, 136.899
1712785152.32906, 128.867, 133.577, 123.118, 133.348
